CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ASSAULT,12/31/2017 02:00:00 AM,17-067818,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,04X,1700 TELEGRAPH AV,Oakland,CA,"1700 TELEGRAPH AV
Oakland, CA
(37.806838, -122.270252)"
MOTOR VEHICLE THEFT,12/16/2017 10:40:00 AM,17-065294,VEHICLE THEFT - AUTO,14Y,3200 LAKESHORE AV,Oakland,CA,"3200 LAKESHORE AV
Oakland, CA
(37.810277, -122.245433)"
VANDALISM,10/24/2017 07:00:00 PM,17-916879,VANDALISM,,500 20TH ST,Oakland,CA,"500 20TH ST
Oakland, CA
(37.809581, -122.269628)"
ASSAULT,11/04/2017 07:40:00 AM,17-057922,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,22X,FLAGG AV & MONTANA ST,Oakland,CA,"FLAGG AV &amp; MONTANA ST
Oakland, CA
(37.798466, -122.216125)"
THEFT/LARCENY,12/18/2017 07:30:00 PM,17-065784,BURGLARY-AUTO,04X,100 GRAND AV,Oakland,CA,"100 GRAND AV
Oakland, CA
(37.811432, -122.265382)"
ASSAULT,10/26/2017 05:50:00 PM,17-056304,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,30X,OLIVE ST & RITCHIE ST,Oakland,CA,"OLIVE ST &amp; RITCHIE ST
Oakland, CA
(37.761477, -122.173849)"
ASSAULT,12/09/2017 04:45:00 AM,17-064062,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,22Y,MADELINE ST & MAPLE AV,Oakland,CA,"MADELINE ST &amp; MAPLE AV
Oakland, CA
(37.799202, -122.203156)"
ASSAULT,11/26/2017 11:10:00 PM,17-061752,BATTERY,26Y,80TH AV & INTERNATIONAL BLVD,Oakland,CA,"80TH AV &amp; INTERNATIONAL BLVD
Oakland, CA
(37.756639, -122.181587)"
ASSAULT,12/28/2017 09:30:00 AM,17-067386,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,27Y,55TH AV & EDGERLY ST,Oakland,CA,"55TH AV &amp; EDGERLY ST
Oakland, CA
(37.770111, -122.199432)"
VANDALISM,12/09/2017 11:30:00 AM,17-919495,VANDALISM,04X,1900 WEBSTER ST,Oakland,CA,"1900 WEBSTER ST
Oakland, CA
(37.807079, -122.26648)"
THEFT/LARCENY,11/28/2017 12:00:00 PM,17-918689,BURGLARY-AUTO,01X,300 CASTRO ST,Oakland,CA,"300 CASTRO ST
Oakland, CA
(37.799376, -122.281688)"
MOTOR VEHICLE THEFT,12/12/2017 09:30:00 PM,17-064684,VEHICLE THEFT - AUTO,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
ASSAULT,11/14/2017 02:51:00 AM,17-059558,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,03X,12TH ST & HARRISON ST,Oakland,CA,"12TH ST &amp; HARRISON ST
Oakland, CA
(37.801537, -122.268463)"
VANDALISM,11/16/2017 09:37:00 AM,17-059975,VANDALISM [UNDER $400],32X,11000 SAN LEANDRO ST,Oakland,CA,"11000 SAN LEANDRO ST
Oakland, CA
(37.732611, -122.171182)"
VANDALISM,12/10/2017 06:30:00 PM,17-919521,VANDALISM,,PIEDMONT AVE,Oakland,CA,"PIEDMONT AVE
Oakland, CA
"
MOTOR VEHICLE THEFT,12/23/2017 11:36:00 AM,17-066680,VEHICLE THEFT - OTHER VEHICLES,33X,8000 SAN LEANDRO ST,Oakland,CA,"8000 SAN LEANDRO ST
Oakland, CA
(37.749812, -122.192414)"
THEFT/LARCENY,10/22/2017 06:30:00 PM,17-916800,THEFT,13Z,2200 ARROWHEAD DRIVE,Oakland,CA,"2200 ARROWHEAD DRIVE
Oakland, CA
(37.836134, -122.190307)"
ROBBERY,01/10/2018 09:30:00 PM,18-001750,ROBBERY-KNIFE OR CUTTING INSTRUMENT,24X,3900 BLK FOOTHILL BLVD,Oakland,CA,"3900 BLK FOOTHILL BLVD
Oakland, CA
(37.778347, -122.215921)"
ASSAULT,01/01/2018 09:19:00 AM,18-000065,BATTERY,32Y,10400 MACARTHUR BLVD,Oakland,CA,"10400 MACARTHUR BLVD
Oakland, CA
(37.743389, -122.152898)"
THEFT/LARCENY,10/23/2017 07:10:00 PM,17-916807,BURGLARY-AUTO,08X,2600 TELEGRAPH AVE,Oakland,CA,"2600 TELEGRAPH AVE
Oakland, CA
(37.815778, -122.268012)"
VANDALISM,01/07/2018 12:00:00 AM,18-001330,VANDALISM,23X,3600 E 16TH ST,Oakland,CA,"3600 E 16TH ST
Oakland, CA
(37.77799, -122.220549)"
VANDALISM,12/05/2017 09:00:00 AM,17-063418,VANDALISM,34X,2000 85TH AV,Oakland,CA,"2000 85TH AV
Oakland, CA
(37.756885, -122.170397)"
ASSAULT,12/31/2017 06:50:00 PM,17-067907,INFLICT CRPL INJ SP/COHAB,27X,5000 CONGRESS AV,Oakland,CA,"5000 CONGRESS AV
Oakland, CA
(37.776685, -122.202477)"
ASSAULT,11/27/2017 06:58:00 PM,17-061917,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,26Y,INTERNATIONAL BLVD & SEMINARY AV,Oakland,CA,"INTERNATIONAL BLVD &amp; SEMINARY AV
Oakland, CA
(37.765111, -122.19952)"
ASSAULT,10/24/2017 11:40:00 AM,17-055821,THREAT CRIME:INT:TERRORIZE,21Y,3100 ASHBROOK CT,Oakland,CA,"3100 ASHBROOK CT
Oakland, CA
(37.786452, -122.222164)"
ASSAULT,10/21/2017 08:30:00 PM,17-056170,BATTERY,07X,32ND ST & ADELINE ST,Oakland,CA,"32ND ST &amp; ADELINE ST
Oakland, CA
(37.823765, -122.280992)"
